country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Myanmar,Asia,142974,3210.0,132050,7714,,2613,59.0,2593888.0,47400.0,54722988
Namibia,Africa,50301,696.0,47518,2087,51.0,19495,270.0,402641.0,156047.0,2580262
Nepal,Asia,413111,4084.0,312019,97008,,13964,138.0,2672726.0,90340.0,29585051
Netherlands,Europe,1571398,17383.0,1333282,220733,740.0,91533,1013.0,13171698.0,767247.0,17167470
New Caledonia,Australia/Oceania,124,,58,66,,431,,31166.0,108271.0,287852
New Zealand,Australia/Oceania,2643,26.0,2591,26,,528,5.0,2059727.0,411772.0,5002100
Nicaragua,North America,7086,184.0,4225,2677,,1059,27.0,,,6692112
Niger,Africa,5324,192.0,4929,203,2.0,213,8.0,101502.0,4068.0,24951059
Nigeria,Africa,165515,2065.0,156358,7092,11.0,786,10.0,1939165.0,9212.0,210498783
Norway,Europe,117495,767.0,88952,27776,24.0,21529,141.0,5398485.0,989164.0,5457626
Oman,Asia,202713,2148.0,186391,14174,255.0,38853,412.0,1550000.0,297082.0,5217409
Pakistan,Asia,867438,19210.0,771692,76536,4707.0,3863,86.0,12310875.0,54822.0,224559097
Panama,North America,368368,6282.0,357714,4372,105.0,84239,1437.0,2477351.0,566522.0,4372910
Papua New Guinea,Australia/Oceania,12493,130.0,10833,1530,,1374,14.0,104674.0,11513.0,9091937
Paraguay,South America,302061,7284.0,250502,44275,581.0,41909,1011.0,1163740.0,161460.0,7207627
Peru,South America,1858239,64691.0,1720665,72883,2660.0,55694,1939.0,11761084.0,352495.0,33365278
Philippines,Asia,1113547,18620.0,1038175,56752,750.0,10047,168.0,12330600.0,111256.0,110830652
Poland,Europe,2838180,70336.0,2580245,187599,1959.0,75062,1860.0,14894006.0,393907.0,37810938
Portugal,Europe,840008,16994.0,801306,21708,71.0,82588,1671.0,10967514.0,1078301.0,10171109
Qatar,Asia,211732,516.0,203546,7670,224.0,75408,184.0,1954173.0,695979.0,2807805
Reunion,Africa,22644,169.0,21603,872,36.0,25138,188.0,102720.0,114032.0,900797
Romania,Europe,1067887,29135.0,1017047,21705,919.0,55831,1523.0,8524384.0,445671.0,19127080
Russia,Europe,4896842,113976.0,4509915,272951,2300.0,33543,781.0,131900000.0,903497.0,145988292
Rwanda,Africa,25773,340.0,24333,1100,,1949,26.0,1350982.0,102145.0,13226156
Saint Barthelemy,North America,974,1.0,462,511,,98354,101.0,26385.0,2664344.0,9903
Saint Helena,Africa,2,,2,0,,328,,,,6093
Saint Kitts And Nevis,North America,45,,44,1,,841,,13691.0,255801.0,53522
Saint Lucia,North America,4700,75.0,4473,152,1.0,25495,407.0,42151.0,228649.0,184348
Saint Martin,North America,1773,12.0,1399,362,7.0,45195,306.0,27588.0,703237.0,39230
Saint Pierre And Miquelon,North America,25,,25,0,,4333,,5318.0,921664.0,5770
Saint Vincent And The Grenadines,North America,1922,12.0,1741,169,2.0,17277,108.0,46355.0,416700.0,111243
Samoa,Australia/Oceania,3,,2,1,,15,,,,199546
San Marino,Europe,5083,90.0,4968,25,4.0,149535,2648.0,63241.0,1860467.0,33992
Sao Tome And Principe,Africa,2320,35.0,2269,16,,10420,157.0,12999.0,58386.0,222639
Saudi Arabia,Asia,428369,7098.0,412102,9169,1358.0,12143,201.0,17669879.0,500875.0,35278014
Senegal,Africa,40729,1120.0,39428,181,13.0,2379,65.0,492363.0,28759.0,17120176
Serbia,Europe,702451,6594.0,666944,28913,115.0,80676,757.0,3952559.0,453949.0,8707058
Seychelles,Africa,8172,28.0,5658,2486,,82654,283.0,21504.0,217498.0,98870
Sierra Leone,Africa,4089,79.0,3093,917,,504,10.0,153257.0,18884.0,8115616
Singapore,Asia,61403,31.0,60975,397,3.0,10425,5.0,10441802.0,1772852.0,5889834
Sint Maarten,North America,2268,27.0,2208,33,2.0,52387,624.0,26880.0,620886.0,43293
Slovakia,Europe,386136,12077.0,368421,5638,235.0,70696,2211.0,2734112.0,500577.0,5461917
Slovenia,Europe,246725,4302.0,233788,8635,132.0,118664,2069.0,1210718.0,582304.0,2079184
Solomon Islands,Australia/Oceania,20,,20,0,,29,,4500.0,6417.0,701257
Somalia,Africa,14486,753.0,6325,7408,,890,46.0,120132.0,7383.0,16271101
South Africa,Africa,1599272,54896.0,1519258,25118,546.0,26677,916.0,10931906.0,182352.0,59949498
South Korea,Asia,128918,1884.0,119373,7661,167.0,2513,37.0,9201539.0,179342.0,51307137
South Sudan,Africa,10641,115.0,10462,64,,941,10.0,156542.0,13846.0,11306223
Spain,Europe,3586333,79100.0,3283915,223318,2038.0,76680,1691.0,47213067.0,1009466.0,46770357
Sri Lanka,Asia,131098,850.0,106641,23607,,6100,40.0,2951123.0,137323.0,21490399
State Of Palestine,Asia,302777,3393.0,287932,11452,78.0,58197,652.0,1781690.0,342458.0,5202653
Sudan,Africa,34272,2446.0,27949,3877,,766,55.0,232965.0,5209.0,44723245
Suriname,South America,11306,220.0,9907,1179,25.0,19126,372.0,53811.0,91029.0,591142
Swaziland,Africa,18487,671.0,17784,32,3.0,15795,573.0,194247.0,165957.0,1170466
Sweden,Europe,1021604,14217.0,858779,148608,374.0,100617,1400.0,8798383.0,866550.0,10153344
Switzerland,Europe,675671,10721.0,606910,58040,190.0,77583,1231.0,7179360.0,824365.0,8708956
Syria,Asia,23490,1670.0,19316,2504,,1315,93.0,103566.0,5798.0,17863450
Taiwan,Asia,1210,12.0,1093,105,,51,,571259.0,23948.0,23853843
Tajikistan,Asia,13308,90.0,13218,0,,1369,9.0,,,9720578
Tanzania,Africa,509,21.0,183,305,7.0,8,,,,61183891
Thailand,Asia,88907,486.0,59043,29378,1207.0,1271,7.0,8124896.0,116152.0,69950556
Timor Leste,Asia,3493,5.0,1769,1719,,2607,4.0,84361.0,62960.0,1339916
Togo,Africa,13167,125.0,11694,1348,,1559,15.0,318622.0,37732.0,8444354
Trinidad And Tobago,North America,13802,224.0,9500,4078,71.0,9835,160.0,147470.0,105082.0,1403383
Tunisia,Africa,322998,11556.0,281554,29888,489.0,27087,969.0,1371995.0,115055.0,11924673
Turkey,Asia,5059433,43589.0,4766124,249720,2975.0,59441,512.0,49830456.0,585433.0,85117272
Turks And Caicos Islands,North America,2404,17.0,2365,22,2.0,61380,434.0,65926.0,1683246.0,39166
Uganda,Africa,42427,346.0,41971,110,24.0,903,7.0,1044170.0,22230.0,46970372
UK,Europe,4439691,127629.0,4253367,58695,143.0,65105,1872.0,166942214.0,2448108.0,68192342
Ukraine,Europe,2129073,46987.0,1797136,284950,177.0,48936,1080.0,9682286.0,222544.0,43507340
United Arab Emirates,Asia,539138,1617.0,519405,18116,,53953,162.0,46190863.0,4622403.0,9992825
Uruguay,South America,225847,3208.0,197085,25554,525.0,64823,921.0,1934871.0,555347.0,3484077
USA,North America,33550115,596946.0,26558138,6395031,8741.0,100851,1794.0,460400486.0,1383957.0,332669677
Uzbekistan,Asia,95467,666.0,90976,3825,23.0,2817,20.0,1377915.0,40665.0,33884609
Vanuatu,Australia/Oceania,4,1.0,3,0,,13,3.0,23000.0,73419.0,313272
Venezuela,South America,210116,2320.0,193089,14707,316.0,7407,82.0,3359014.0,118415.0,28366567
Viet Nam,Asia,3571,35.0,2618,918,,36,,2958119.0,30157.0,98090024
Wallis And Futuna Islands,Australia/Oceania,445,7.0,44,394,1.0,40202,632.0,17264.0,1559671.0,11069
Western Sahara,Africa,10,1.0,8,1,,16,2.0,,,609870
Yemen,Asia,6492,1276.0,3003,2213,23.0,214,42.0,34287.0,1128.0,30387003
Zambia,Africa,92152,1258.0,90539,355,42.0,4896,67.0,1448213.0,76940.0,18822708
Zimbabwe,Africa,38448,1579.0,36221,648,12.0,2555,105.0,436994.0,29040.0,15048213
